cve_mun,municipio,grad_margi,grad_rez_social,conectividad,servicios_basicos,elementos_salud,educacion,desigualdad,dependencia_economica,calidad_vivienda,seguridad_alimentaria,seguridad_social
20415,Santa María Ipalapa,Medio,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20416,Santa María Ixcatlán,Alto,Medio,Muy bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Muy bajo
20417,Santa María Jacatepec,Alto,Medio,Bajo,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Muy bajo,Medio
20418,Santa María Jalapa del Marqués,Bajo,Bajo,Medio,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Bajo
20419,Santa María Jaltianguis,Bajo,Bajo,Medio,Bajo,Alto,Bajo,Medio,Alto,Medio,Alto,Alto
20420,Santa María Lachixío,Alto,Alto,Muy bajo,Muy bajo,Medio,Alto,Medio,Medio,Medio,Medio,Alto
20421,Santa María Mixtequilla,Bajo,Bajo,Medio,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,Alto
20422,Santa María Nativitas,Medio,Medio,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20423,Santa María Nduayaco,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
20424,Santa María Ozolotepec,Alto,Alto,Muy bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Medio
20425,Santa María Pápalo,Alto,Alto,Muy bajo,Bajo,,Medio,Medio,Muy alto,Medio,Bajo,Medio
20426,Santa María Peñoles,Muy alto,Muy alto,Muy bajo,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Medio
20427,Santa María Petapa,Medio,Bajo,Bajo,Muy bajo,,Medio,,Medio,Medio,Bajo,Bajo
20428,Santa María Quiegolani,Alto,Medio,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Alto
20429,Santa María Sola,Alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Bajo
20430,Santa María Tataltepec,Medio,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20431,Santa María Tecomavaca,Medio,Bajo,Medio,Muy bajo,Medio,Medio,Alto,Medio,Medio,Medio,Medio
20432,Santa María Temaxcalapa,Bajo,Bajo,Bajo,Medio,,Medio,Medio,Alto,Medio,Bajo,Medio
20433,Santa María Temaxcaltepec,Muy alto,Muy alto,Bajo,Muy bajo,Bajo,Alto,Medio,Alto,Medio,Medio,Medio
20434,Santa María Teopoxco,Alto,Alto,Muy bajo,Bajo,Medio,Alto,Medio,Alto,Medio,Bajo,Alto
20435,Santa María Tepantlali,Muy alto,Muy alto,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Alto,Medio
20436,Santa María Texcatitlán,Muy alto,Muy alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Muy bajo,Alto
20437,Santa María Tlahuitoltepec,Alto,Muy alto,Bajo,Muy bajo,Muy bajo,Alto,Alto,Medio,Medio,Medio,Medio
20438,Santa María Tlalixtac,Alto,Alto,Muy bajo,Medio,,Alto,Medio,Alto,Medio,Bajo,Alto
20439,Santa María Tonameca,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20440,Santa María Totolapilla,Alto,Medio,Bajo,Medio,,Medio,Medio,Alto,Bajo,Bajo,Alto
20441,Santa María Xadani,Medio,Medio,Medio,Muy bajo,Muy bajo,Alto,Medio,Alto,Bajo,Bajo,Medio
20442,Santa María Yalina,Medio,Bajo,Bajo,Alto,Alto,Medio,Medio,Alto,Medio,Alto,Alto
20443,Santa María Yavesía,Bajo,Bajo,Bajo,Medio,Alto,Bajo,Medio,Alto,Medio,Medio,Alto
20444,Santa María Yolotepec,Medio,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Bajo
20445,Santa María Yosoyúa,Medio,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Alto,Alto
20446,Santa María Yucuhiti,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Muy bajo,Alto
20447,Santa María Zacatepec,Alto,Medio,Bajo,Muy bajo,Bajo,Medio,Alto,Medio,Medio,Bajo,Bajo
20448,Santa María Zaniza,Muy alto,Muy alto,Muy bajo,Muy bajo,Medio,Medio,Medio,,Medio,Bajo,Alto
20449,Santa María Zoquitlán,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Alto,Medio
20450,Santiago Amoltepec,Muy alto,Muy alto,Muy bajo,Muy bajo,Bajo,Alto,Medio,Medio,Medio,Bajo,Alto
20451,Santiago Apoala,Muy alto,Muy alto,Muy bajo,Muy bajo,Medio,Alto,Medio,Alto,Medio,Bajo,Medio
20452,Santiago Apóstol,Muy alto,Alto,Medio,Muy bajo,,Alto,Medio,Medio,Medio,Bajo,Bajo
20453,Santiago Astata,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Bajo,Bajo,Medio
20454,Santiago Atitlán,Alto,Alto,Muy bajo,Muy bajo,Muy bajo,Medio,Medio,Alto,Medio,Bajo,Medio
20455,Santiago Ayuquililla,Alto,Medio,Muy bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20456,Santiago Cacaloxtepec,Alto,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Bajo,Medio,Medio
20457,Santiago Camotlán,Alto,Alto,Muy bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Bajo
20458,Santiago Comaltepec,Medio,Bajo,Bajo,Medio,Alto,Medio,Medio,Alto,Medio,Medio,Alto
20459,Villa de Santiago Chazumba,Medio,Bajo,Bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Medio,Medio
20460,Santiago Choápam,Alto,Alto,Muy bajo,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Bajo,Medio
20461,Santiago del Río,Alto,Medio,Muy bajo,Bajo,,Alto,Alto,Medio,Medio,Bajo,Medio
20462,Santiago Huajolotitlán,Bajo,Bajo,Bajo,Bajo,,Bajo,Alto,Medio,Medio,Medio,Bajo
20463,Santiago Huauclilla,Medio,Medio,Muy bajo,Muy bajo,,Medio,Medio,Alto,Medio,Alto,Medio
20464,Santiago Ihuitlán Plumas,Medio,Medio,Muy bajo,Bajo,Alto,Medio,Alto,Alto,Medio,Bajo,Medio
20465,Santiago Ixcuintepec,Alto,Alto,Muy bajo,Bajo,,Medio,Medio,Alto,Medio,Medio,Alto
20466,Santiago Ixtayutla,Muy alto,Muy alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Bajo,Alto
20467,Santiago Jamiltepec,Medio,Medio,Bajo,Muy bajo,Muy bajo,Medio,Medio,Medio,Medio,Bajo,Muy bajo
20468,Santiago Jocotepec,Alto,Alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Alto,Medio,Muy bajo,Bajo
20469,Santiago Juxtlahuaca,Alto,Alto,Bajo,Muy bajo,Bajo,Medio,Alto,Medio,Medio,Bajo,Bajo
20470,Santiago Lachiguiri,Alto,Alto,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Medio
20471,Santiago Lalopa,Medio,Medio,Bajo,Medio,Alto,Medio,Medio,Alto,Medio,Medio,Alto
20472,Santiago Laollaga,Bajo,Bajo,Medio,Bajo,,Medio,Alto,Medio,Medio,Medio,Medio
20473,Santiago Laxopa,Bajo,Medio,Muy bajo,Medio,Medio,Bajo,Medio,Alto,Medio,Alto,Alto
20474,Santiago Llano Grande,Alto,Medio,Bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Muy bajo,Medio
20475,Santiago Matatlán,Alto,Medio,Medio,Bajo,Medio,Medio,Medio,Medio,Medio,Medio,Muy bajo
20476,Santiago Miltepec,Medio,Bajo,Muy bajo,Bajo,,Medio,Medio,Alto,Medio,Medio,Alto
20477,Santiago Minas,Alto,Medio,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Medio,Alto
20478,Santiago Nacaltepec,Medio,Medio,Muy bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20479,Santiago Nejapilla,Medio,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20480,Santiago Nundiche,Muy alto,Muy alto,Muy bajo,Muy bajo,,Medio,Medio,,Medio,Muy bajo,Medio
20481,Santiago Nuyoó,Alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Alto
20482,Santiago Pinotepa Nacional,Alto,Medio,Medio,Bajo,Alto,Medio,Medio,Medio,Bajo,Bajo,Bajo
20483,Santiago Suchilquitongo,Bajo,Bajo,Medio,Muy bajo,Medio,Bajo,Medio,Alto,Medio,Medio,Bajo
20484,Santiago Tamazola,Alto,Bajo,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Bajo,Alto
20485,Santiago Tapextla,Muy alto,Alto,Bajo,Muy bajo,,Alto,Medio,Medio,Medio,Muy bajo,Medio
20486,Villa Tejúpam de la Unión,Medio,Bajo,Medio,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
20487,Santiago Tenango,Medio,Medio,Bajo,Muy bajo,,Bajo,Medio,Alto,Medio,Medio,Bajo
20488,Santiago Tepetlapa,Medio,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Medio,Alto,Medio
20489,Santiago Tetepec,Alto,Medio,Bajo,Muy bajo,Muy bajo,Medio,Medio,Alto,Medio,Bajo,Medio
20490,Santiago Texcalcingo,Alto,Alto,Muy bajo,Bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20491,Santiago Textitlán,Alto,Alto,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Alto
20492,Santiago Tilantongo,Alto,Alto,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Bajo,Alto
20493,Santiago Tillo,Bajo,Bajo,Medio,Bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20494,Santiago Tlazoyaltepec,Muy alto,Muy alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20495,Santiago Xanica,Muy alto,Muy alto,Muy bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Bajo,Medio
20496,Santiago Xiacuí,Bajo,Bajo,Medio,Bajo,Medio,Bajo,Medio,Alto,Medio,Medio,Medio
20497,Santiago Yaitepec,Muy alto,Muy alto,Bajo,Muy bajo,Bajo,Alto,Medio,Medio,Bajo,Bajo,Medio
20498,Santiago Yaveo,Muy alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Medio
20499,Santiago Yolomécatl,Bajo,Bajo,Medio,Medio,Alto,Bajo,Alto,Medio,Medio,Medio,Medio
20500,Santiago Yosondúa,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Medio,Alto
20501,Santiago Yucuyachi,Alto,Medio,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20502,Santiago Zacatepec,Muy alto,Muy alto,Bajo,Muy bajo,Alto,Alto,Medio,Alto,Medio,Muy bajo,Alto
20503,Santiago Zoochila,Bajo,Bajo,Bajo,Medio,,Medio,Medio,Alto,Medio,Medio,Medio
20504,Nuevo Zoquiápam,Medio,Bajo,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Alto
20505,Santo Domingo Ingenio,Bajo,Bajo,Medio,Medio,Bajo,Medio,Medio,Alto,Medio,Bajo,Medio
20506,Santo Domingo Albarradas,Medio,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20507,Santo Domingo Armenta,Alto,Medio,Bajo,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Bajo,Medio
20508,Santo Domingo Chihuitán,Bajo,Bajo,Medio,Bajo,Medio,Medio,Alto,Medio,Medio,Medio,Alto
20509,Santo Domingo de Morelos,Muy alto,Muy alto,Bajo,Muy bajo,Bajo,Alto,Alto,Medio,Medio,Muy bajo,Alto
20510,Santo Domingo Ixcatlán,Alto,Alto,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Alto,Alto
20511,Santo Domingo Nuxaá,Muy alto,Muy alto,Bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Bajo,Alto
20512,Santo Domingo Ozolotepec,Alto,Alto,Muy bajo,Bajo,Bajo,Alto,Medio,Muy alto,Medio,Bajo,Medio
20513,Santo Domingo Petapa,Medio,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20514,Santo Domingo Roayaga,Muy alto,Muy alto,Muy bajo,Muy bajo,Alto,Medio,Medio,Alto,Alto,Muy bajo,Bajo
20515,Santo Domingo Tehuantepec,Bajo,Bajo,Medio,Bajo,Alto,Medio,Medio,Medio,Medio,Bajo,Bajo
20516,Santo Domingo Teojomulco,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Medio,Alto
20517,Santo Domingo Tepuxtepec,Muy alto,Muy alto,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Medio,Medio
20518,Santo Domingo Tlatayápam,Bajo,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Bajo
20519,Santo Domingo Tomaltepec,Medio,Bajo,Medio,Bajo,Medio,Bajo,Alto,Medio,Medio,Medio,Bajo
20520,Santo Domingo Tonalá,Medio,Bajo,Medio,Medio,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20521,Santo Domingo Tonaltepec,Medio,Medio,Muy bajo,Bajo,Alto,Medio,Alto,Alto,Medio,Medio,Medio
20522,Santo Domingo Xagacía,Alto,Alto,Muy bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
20523,Santo Domingo Yanhuitlán,Medio,Bajo,Medio,Bajo,,Medio,Alto,Medio,Medio,Bajo,Medio
20524,Santo Domingo Yodohino,Bajo,Bajo,Muy bajo,Muy bajo,Alto,Bajo,Medio,Alto,Medio,Medio,Medio
20525,Santo Domingo Zanatepec,Medio,Bajo,Bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20526,Santos Reyes Nopala,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Medio,Medio
20527,Santos Reyes Pápalo,Alto,Alto,Bajo,Muy bajo,,Medio,Medio,Medio,Medio,Bajo,Medio
20528,Santos Reyes Tepejillo,Alto,Medio,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20529,Santos Reyes Yucuná,Muy alto,Alto,Bajo,Bajo,Alto,Alto,Alto,Alto,Bajo,Bajo,Alto
20530,Santo Tomás Jalieza,Alto,Medio,Medio,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Medio
20531,Santo Tomás Mazaltepec,Medio,Bajo,Medio,Bajo,Medio,Bajo,Alto,Medio,Medio,Medio,Medio
20532,Santo Tomás Ocotepec,Alto,Alto,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Alto,Bajo
20533,Santo Tomás Tamazulapan,Medio,Bajo,Medio,Bajo,Medio,Medio,Alto,Medio,Medio,Medio,Bajo
20534,San Vicente Coatlán,Alto,Muy alto,Bajo,Muy bajo,Medio,Alto,Medio,Medio,Medio,Medio,Medio
20535,San Vicente Lachixío,Alto,Alto,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Bajo
20536,San Vicente Nuñú,Bajo,Bajo,Bajo,Muy bajo,,Bajo,Medio,Alto,Medio,Medio,Alto
20537,Silacayoápam,Alto,Bajo,Bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Bajo,Medio
20538,Sitio de Xitlapehua,Medio,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Bajo,Medio,Medio
20539,Soledad Etla,Bajo,Bajo,Medio,Medio,Medio,Bajo,Medio,Alto,Medio,Medio,Medio
20540,Villa de Tamazulápam del Progreso,Bajo,Bajo,Medio,Medio,Medio,Bajo,Alto,Medio,Medio,Medio,Medio
20541,Tanetze de Zaragoza,Medio,Medio,Bajo,Bajo,,Bajo,Medio,Alto,Medio,Medio,Medio
20542,Taniche,Medio,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20543,Tataltepec de Valdés,Alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Bajo,Muy bajo,Alto
20544,Teococuilco de Marcos Pérez,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
20545,Teotitlán de Flores Magón,Bajo,Bajo,Medio,Medio,Alto,Medio,Alto,Medio,Medio,Medio,Medio
20546,Teotitlán del Valle,Alto,Medio,Medio,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Bajo
20547,Teotongo,Medio,Bajo,Bajo,Bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Alto
20548,Tepelmeme Villa de Morelos,Alto,Medio,Medio,Bajo,Alto,Medio,Medio,Medio,Medio,Medio,Medio
20549,"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",Alto,Medio,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Bajo
20550,San Jerónimo Tlacochahuaya,Medio,Bajo,Medio,Bajo,Alto,Medio,Alto,Alto,Medio,Medio,Medio
20551,Tlacolula de Matamoros,Bajo,Bajo,Medio,Medio,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Bajo
20552,Tlacotepec Plumas,Medio,Bajo,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Bajo,Alto
20553,Tlalixtac de Cabrera,Muy bajo,Bajo,Medio,Bajo,Alto,Bajo,Alto,Medio,Medio,Alto,Muy bajo
20554,Totontepec Villa de Morelos,Alto,Alto,Bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Medio
20555,Trinidad Zaachila,Medio,Bajo,Medio,Muy bajo,Alto,Medio,Medio,Alto,Medio,Medio,Bajo
20556,La Trinidad Vista Hermosa,Medio,Bajo,Medio,Medio,,Medio,Medio,Alto,Medio,Medio,Medio
20557,Unión Hidalgo,Muy bajo,Muy bajo,Medio,Bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Bajo
20558,Valerio Trujano,Medio,Bajo,Bajo,Muy bajo,Alto,Medio,Medio,Medio,Medio,Medio,Alto
20559,San Juan Bautista Valle Nacional,Medio,Bajo,Bajo,Bajo,Alto,Medio,Alto,Medio,Medio,Bajo,Medio
20560,Villa Díaz Ordaz,Alto,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Muy bajo
20561,Yaxe,Alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20562,Magdalena Yodocono de Porfirio Díaz,Medio,Bajo,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Medio,Medio
20563,Yogana,Muy alto,Alto,Bajo,Muy bajo,Medio,Alto,Medio,Alto,Medio,Alto,Medio
20564,Yutanduchi de Guerrero,Alto,Alto,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Muy bajo,Alto
20565,Villa de Zaachila,Alto,Medio,Medio,Bajo,Bajo,Bajo,Medio,Medio,Medio,Medio,Bajo
20566,San Mateo Yucutindoo,Alto,Alto,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Alto
20567,Zapotitlán Lagunas,Muy alto,Medio,Bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Bajo,Medio
20568,Zapotitlán Palmas,Medio,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20569,Santa Inés de Zaragoza,Alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Alto
20570,Zimatlán de Álvarez,Medio,Bajo,Medio,Bajo,Medio,Medio,Medio,Medio,Medio,Medio,Bajo
