cve_mun,municipio_norm,municipio,grad_margi,grad_rez_social,conectividad,servicios_basicos,elementos_salud,educacion,desigualdad,dependencia_economica,calidad_vivienda,seguridad_alimentaria,seguridad_social
20078,rojasdecuauhtemoc,Rojas de Cuauhtémoc,Bajo,Muy bajo,Medio,Medio,Alto,Bajo,Medio,Medio,Medio,Medio,Medio
20079,salinacruz,Salina Cruz,Muy bajo,Muy bajo,Medio,Medio,Alto,Bajo,Medio,Alto,Medio,Medio,Medio
20080,sanagustinamatengo,San Agustín Amatengo,Alto,Medio,Bajo,Bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20081,sanagustinatenango,San Agustín Atenango,Alto,Medio,Bajo,Muy bajo,Medio,Alto,Medio,Medio,Medio,Bajo,Medio
20082,sanagustinchayuco,San Agustín Chayuco,Alto,Medio,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Medio
20083,sanagustindelasjuntas,San Agustín de las Juntas,Muy bajo,Muy bajo,Medio,Medio,Bajo,Bajo,Medio,Medio,Medio,Medio,Bajo
20084,sanagustinetla,San Agustín Etla,Muy bajo,Muy bajo,Alto,Alto,,Bajo,Medio,Alto,Medio,Medio,Medio
20085,sanagustinloxicha,San Agustín Loxicha,Muy alto,Muy alto,Bajo,Muy bajo,Bajo,Alto,Medio,Medio,Medio,Bajo,Alto
20086,sanagustintlacotepec,San Agustín Tlacotepec,Alto,Alto,Muy bajo,Muy bajo,,Medio,Alto,Alto,Medio,Medio,Medio
20087,sanagustinyatareni,San Agustín Yatareni,Alto,Bajo,Medio,Bajo,Medio,Bajo,Alto,Medio,Medio,Alto,Muy bajo
20088,sanandrescabeceranueva,San Andrés Cabecera Nueva,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20089,sanandresdinicuiti,San Andrés Dinicuiti,Medio,Bajo,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Bajo,Medio,Medio
20090,sanandreshuaxpaltepec,San Andrés Huaxpaltepec,Alto,Medio,Medio,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20091,sanandreshuayapam,San Andrés Huayápam,Muy bajo,Muy bajo,Alto,Alto,Medio,Bajo,Alto,Medio,Medio,Alto,Medio
20092,sanandresixtlahuaca,San Andrés Ixtlahuaca,Medio,Medio,Medio,Muy bajo,,Medio,Alto,Medio,Medio,Medio,Bajo
20093,sanandreslagunas,San Andrés Lagunas,Medio,Medio,Muy bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20094,sanandresnuxino,San Andrés Nuxiño,Medio,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Muy alto,Medio,Medio,Alto
20095,sanandrespaxtlan,San Andrés Paxtlán,Alto,Muy alto,Bajo,Muy bajo,,Alto,Medio,Muy alto,Medio,Bajo,Medio
20096,sanandressinaxtla,San Andrés Sinaxtla,Bajo,Bajo,Medio,Medio,,Bajo,Medio,Alto,Medio,Medio,Medio
20097,sanandressolaga,San Andrés Solaga,Medio,Medio,Bajo,Bajo,,Medio,Medio,Alto,Medio,Alto,Medio
20098,sanandresteotilalpam,San Andrés Teotilálpam,Alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20099,sanandrestepetlapa,San Andrés Tepetlapa,Muy alto,Alto,Muy bajo,Muy bajo,,Alto,Medio,,Medio,Bajo,Alto
20100,sanandresyaa,San Andrés Yaá,Alto,Alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Alto,Medio
20101,sanandreszabache,San Andrés Zabache,Alto,Alto,Bajo,Muy bajo,Medio,Alto,Medio,Alto,Medio,Bajo,Medio
