clave_mun,municipio,poblacion,pob_indigena,pob_afrodescendiente,pob_analfabeta,pob_discapacidad,viviendas,viv_internet,viv_computadoras,viv_celular,ind_rez_social,grad_rez_social,ind_margi,ind_margi_norm,grad_margi,pobr,pobr_ext,pobr_mod,pob_vuln_carencias,pob_vuln_ingresos,pob_no_vuln,rez_educativo,pob_car_hogar,pob_car_salud,pob_car_seg_social,pob_car_ser_basicos,pob_car_alimentacion,pob_car_al_una,pon_car_al_tres,pob_bajo_linea_asist,pob_bajo_linea_min_asist,gini,tasa_ingresos,cama_hospital,cama_fuera_hospital,cama_rec_nac,consultorios,equipamento,medicos_otros,medicos_gen_esp_odont,otro_pers,otro_pers_prof,enfermeria_contac_paciente,enfermeria_otras,medicos_adiest,per_tecnico,total_elementos_salud,por_mas_15_analfabeta,tasa_alfa_1524,grad_escol_prom_15
20514,Santo Domingo Roayaga,941,923,15,115,31,247,10,6,52,2.366782,Muy alto,47.49912116,0.743770132,Muy alto,897,574,323,35,4,5,391,616,399,738,825,502,932,751,901,696,0.365491658,0.1744223312,0,2,0,1,0,0,1,0,0,1,0,0,0,5,84.7,98.4,6.9
20515,Santo Domingo Tehuantepec,67739,12201,1096,3782,4366,20024,7345,5029,16400,-0.369077,Bajo,55.21547608,0.864597511,Bajo,31400,9019,22381,21168,2386,9262,14724,12055,24293,40490,31589,21855,52568,29036,33786,13870,0.375916332,0.1494206637,33,29,5,37,5,2,98,107,16,147,3,3,27,512,82.3,96,5.7
20516,Santo Domingo Teojomulco,5260,173,23,441,343,1315,60,69,904,0.472315,Medio,51.87184985,0.812240977,Alto,4545,1345,3200,652,25,40,1853,1612,234,4703,3533,572,5197,2275,4570,2711,0.371302327,0.1220566655,13,9,0,7,3,1,22,10,2,32,2,2,12,115,92.4,98.6,9.2
20517,Santo Domingo Tepuxtepec,6029,5824,35,1326,308,1464,177,78,651,2.627738,Muy alto,46.67098903,0.730802735,Muy alto,5488,2629,2859,506,13,25,2626,2946,1413,5122,5548,778,5994,4093,5501,3648,0.3705643316,0.161177665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4,98.7,6.4
20518,Santo Domingo Tlatayápam,113,0,0,5,26,42,0,0,33,0.316328,Medio,55.07808171,0.862446106,Bajo,88,35,53,17,2,6,26,13,50,74,99,46,105,68,90,49,0.3827429911,0.1666589975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.4,98.2,5.3
20519,Santo Domingo Tomaltepec,3386,1236,35,107,161,915,333,229,794,-0.341872,Bajo,54.53972409,0.854016175,Medio,2351,529,1822,639,131,267,947,677,1322,2487,1047,437,2990,1136,2482,1079,0.4216096699,0.1424256638,0,0,0,2,0,0,5,0,0,2,0,0,0,9,94.6,100,7.4
20520,Santo Domingo Tonalá,7393,2500,81,871,922,2039,288,306,1626,-0.012045,Bajo,52.72088366,0.825535665,Medio,4169,778,3392,2327,431,468,2502,760,1634,5080,2108,1467,6497,1943,4601,1839,0.392121007,0.1585126693,0,0,0,5,1,0,6,0,1,6,0,3,0,22,95.9,99.4,8.3
20521,Santo Domingo Tonaltepec,250,43,0,20,25,79,3,7,29,0.511728,Medio,53.1254367,0.831870403,Medio,244,99,145,0,5,0,79,62,63,195,89,62,245,100,249,244,0.4477326572,0.1504119957,0,0,0,1,0,0,1,0,0,3,0,0,1,6,83.9,98.5,6.5
20522,Santo Domingo Xagacía,1205,1202,1,100,98,350,38,7,78,1.287641,Alto,50.1929984,0.7859525,Alto,1094,455,638,94,9,9,406,582,234,857,938,274,1188,678,1103,742,0.3635100027,0.1796413312,0,0,0,2,0,0,2,0,0,2,0,2,0,8,89.6,100,7.2
20523,Santo Domingo Yanhuitlán,1633,107,165,78,135,514,153,97,330,-0.014869,Bajo,54.51649013,0.853652363,Medio,819,181,639,609,35,171,325,427,267,991,733,536,1428,552,854,321,0.4282303353,0.1489290024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.7,99.3,6.1
20524,Santo Domingo Yodohino,327,0,0,8,13,85,1,1,8,-0.266811,Bajo,55.03603328,0.861787686,Bajo,319,123,196,7,1,0,132,42,96,284,201,48,326,143,320,272,0.3467926582,0.2256314978,0,0,0,1,0,0,1,0,0,1,0,0,0,3,93.4,99.4,8.8
